matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6738453333,420,2,-20,-3,3,-5,2,7,0,0,0,5,6,1,1,3,2,2,2,0,0,0,0,0,2,2,2,0,1,1,1,1,-1,4,1
KR_6761395132,420,4,49,32,3,-1,0,1,2,4,2,1,1,0,1,2,1,0,1,1,0,1,-13,-3,6,3,6,0,1,1,0,1,1,1,1
KR_6743616393,420,4,65,12,10,-1,0,1,1,1,0,3,6,3,3,3,0,4,4,0,0,14,8,6,3,9,2,0,2,1,1,1,1,5,1
KR_6613103318,420,4,66,24,3,2,5,3,-4,2,6,5,6,1,-1,2,3,1,1,0,0,-1,5,-1,7,6,3,0,0,1,-1,0,1,5,1
KR_6733619900,420,3,26,-3,13,2,3,1,5,5,0,3,3,0,3,3,0,0,0,0,0,13,17,5,1,6,2,0,1,1,1,1,1,2,1
KR_6759397181,420,0,34,-16,-3,2,2,0,1,3,2,0,3,3,-4,3,7,-2,0,2,0,-14,-12,1,4,5,0,0,-1,1,-1,-1,1,4,1
KR_6758283360,420,3,-46,14,12,2,2,0,1,2,1,5,5,0,3,3,0,1,1,0,2,13,15,-3,5,2,0,0,-1,1,-1,-1,1,3,1
KR_6668765635,420,7,154,-4,6,3,3,0,1,2,1,2,2,0,0,1,1,0,0,0,0,2,8,0,3,3,-2,0,2,1,-1,1,1,4,1
KR_6733288879,440,5,116,15,17,0,1,1,4,4,0,3,5,2,11,13,2,-1,0,1,0,23,25,5,2,7,3,0,1,-1,1,1,1,3,1
KR_6756892755,420,1,20,8,2,0,2,2,2,4,2,0,2,2,-1,5,6,1,1,0,0,-2,3,2,3,5,1,0,-1,0,-1,-1,1,0,1
KR_6700571106,420,3,45,36,8,0,1,1,-1,1,2,9,10,1,0,4,4,0,1,1,-2,1,10,3,3,6,1,0,1,1,-1,1,-1,6,1
KR_6701436763,420,0,37,25,-1,-2,0,2,7,8,1,-2,0,2,-3,2,5,-1,0,1,0,-6,-1,-1,3,2,5,0,1,1,-1,1,1,3,1
KR_6689370502,420,3,30,32,6,3,3,0,3,4,1,-3,1,4,2,8,6,1,2,1,2,8,18,2,4,6,-3,0,0,1,-1,-1,1,2,1
KR_6717194005,420,0,55,-20,1,-1,0,1,-3,0,3,-1,2,3,3,4,1,3,4,1,0,7,1,2,3,5,1,0,2,-1,0,1,-1,5,1
KR_6458180474,420,-1,0,5,3,-1,2,3,5,6,1,-1,4,5,1,1,0,-1,0,1,0,4,-186,-1,4,3,-2,0,0,-1,-1,0,1,1,1
KR_6672249784,420,-1,-10,0,-4,0,0,0,-2,4,6,0,2,2,-1,1,2,-1,0,1,0,-7,37,4,1,5,-31,0,0,-1,-1,0,-1,5,1
KR_6607673998,420,1,-56,22,-4,-3,0,3,-1,3,4,2,3,1,-2,1,3,0,2,2,0,2,13,1,5,6,2,0,0,1,1,-1,-1,2,1
KR_6762532882,420,1,22,-5,4,-2,3,5,0,4,4,-1,2,3,5,8,3,2,3,1,3,11,-4,-2,6,4,3,0,1,-1,-1,1,1,6,1
KR_6756745203,420,10,40,43,22,9,9,0,2,5,3,3,4,1,7,7,0,1,1,0,0,14,-1,0,6,6,4,0,3,1,1,1,1,5,1
KR_6692540933,420,2,63,-8,-2,2,3,1,3,6,3,1,2,1,-4,1,5,-4,2,6,-1,-1,6,2,5,7,-2,0,1,1,1,1,-1,4,1
KR_6729026502,420,-3,-66,12,-3,-4,0,4,2,4,2,5,7,2,-3,2,5,-3,0,3,-1,1,0,0,3,3,-2,0,0,0,1,0,-1,0,1
KR_6726697985,420,1,45,8,-3,1,1,0,-1,1,2,2,3,1,-2,2,4,-3,0,3,0,-3,-5,-4,11,7,5,0,1,1,-1,1,-1,2,1
KR_6707571122,420,0,-5,24,2,3,3,0,-4,1,5,2,3,1,2,3,1,-1,1,2,0,-6,312,-4,8,4,7,0,1,1,1,1,1,5,1
KR_6712781787,420,-2,-33,-47,-1,1,1,0,-1,1,2,-2,0,2,1,2,1,0,0,0,0,0,16,2,2,4,2,0,0,-1,1,0,-1,2,1
KR_6662717113,420,3,59,5,9,2,3,1,5,6,1,1,2,1,1,2,1,0,1,1,2,5,34,-1,5,4,0,0,1,1,1,1,1,4,1
KR_6763798798,420,-1,11,8,-1,2,2,0,2,2,0,-4,0,4,0,3,3,-1,2,3,0,-1,-23,-1,5,4,0,0,1,-1,1,1,-1,3,1
KR_6760458464,420,-4,5,40,-7,-1,3,4,-3,1,4,-2,1,3,-1,1,2,0,0,0,0,-6,8,-5,5,0,-1,0,-1,0,1,-1,-1,0,1
KR_6760376259,420,2,68,-2,2,1,3,2,-4,1,5,6,7,1,-4,1,5,3,3,0,-3,-8,-10,-4,5,1,-2,0,0,1,1,0,-1,6,1
KR_6697615315,420,-2,29,12,2,-4,0,4,4,4,0,0,1,1,1,4,3,1,2,1,0,8,262,-1,5,4,0,0,0,1,0,0,-1,1,1
KR_6733782366,420,2,-9,24,4,1,2,1,6,6,0,4,4,0,-4,1,5,-3,1,4,0,3,0,3,2,5,-5,0,0,1,1,0,-1,5,1
KR_6757903161,440,-2,-12,-1,-2,2,2,0,1,4,3,2,5,3,-1,4,5,-6,1,7,0,-9,-1,-2,5,3,2,0,-1,1,1,-1,-1,3,1
KR_6673431240,420,4,5,16,7,1,2,1,1,4,3,-1,2,3,3,3,0,3,3,0,0,6,2,2,1,3,-2,0,0,1,0,0,-1,6,1
KR_6632063946,420,4,84,-10,3,1,4,3,3,4,1,-1,2,3,-1,0,1,1,2,1,0,0,15,-2,5,3,-1,0,0,0,1,1,-1,0,1
KR_6757423390,420,0,25,29,1,2,2,0,-1,1,2,-1,1,2,2,5,3,-1,0,1,2,7,-7,4,3,7,-1,0,0,1,-1,0,-1,2,1
KR_6660902924,440,-1,52,6,-3,1,1,0,-1,1,2,0,1,1,-3,1,4,0,1,1,0,-1,-8,-4,7,3,0,0,-1,1,0,-1,1,4,1
KR_6760795300,440,1,68,12,0,-3,1,4,1,1,0,-1,1,2,2,2,0,1,3,2,0,-4,4,2,3,5,1,0,1,-1,1,1,-1,1,1
KR_6749127299,440,1,37,-1,1,3,4,1,2,2,0,-12,0,12,5,5,0,3,4,1,0,-3,3,-3,5,2,-3,0,0,1,-1,1,-1,4,1
KR_6741356821,420,4,31,37,12,3,5,2,3,6,3,5,6,1,1,2,1,0,1,1,0,8,-3,-1,3,2,3,0,3,1,1,1,-1,3,1
KR_6763708742,420,1,78,27,-1,7,10,3,-2,3,5,0,4,4,-8,1,9,2,2,0,1,-2,-1,1,8,9,2,0,0,1,1,1,1,3,1
KR_6728162490,420,3,1,32,8,4,5,1,2,6,4,1,2,1,0,1,1,1,2,1,0,6,-13,-1,5,4,0,0,1,0,1,1,1,0,1
KR_6689945635,420,0,48,-49,1,0,2,2,1,5,4,-2,1,3,-2,1,3,4,4,0,0,5,33,0,3,3,-3,0,0,-1,1,1,-1,6,1
KR_6625931133,420,2,25,44,5,0,1,1,0,1,1,-2,1,3,6,6,0,1,2,1,0,10,-3,-2,4,2,3,0,0,-1,1,1,1,5,1
KR_6674364925,420,4,48,36,9,5,5,0,2,2,0,2,3,1,-1,4,5,1,1,0,0,-2,-48,1,2,3,21,0,1,1,1,-1,-1,4,1
KR_6720258814,420,3,34,-5,0,5,7,2,4,6,2,-1,0,1,-6,0,6,-2,1,3,0,-8,0,-6,9,3,0,0,0,-1,1,0,1,6,1
KR_6761142960,420,0,-6,-33,2,-2,2,4,1,1,0,-1,0,1,3,4,1,1,2,1,0,6,0,3,1,4,1,0,-1,1,-1,-1,-1,1,1
KR_6747119445,420,-1,3,-36,3,-1,0,1,1,1,0,1,2,1,1,1,0,1,1,0,0,2,-4,-3,5,2,1,0,0,1,-1,0,1,1,1
KR_6703743156,420,6,15,0,11,2,2,0,1,4,3,2,6,4,6,6,0,0,1,1,-1,13,1,0,4,4,2,0,0,1,-1,0,-1,2,1
KR_6729010142,440,4,-19,-6,7,2,2,0,7,7,0,-4,0,4,0,1,1,2,2,0,0,3,-5,-2,7,5,1,0,0,-1,-1,1,1,1,1
KR_6657243705,420,2,28,-23,5,-1,2,3,1,4,3,3,4,1,-2,4,6,4,4,0,1,7,9,2,4,6,2,0,-1,1,0,-1,1,1,1
KR_6752383145,420,5,-2,32,11,1,1,0,6,6,0,1,2,1,2,2,0,1,2,1,0,14,33,1,4,5,2,0,1,1,1,1,-1,1,1
KR_6712299127,420,-1,23,21,5,-1,1,2,7,9,2,3,5,2,-5,2,7,1,2,1,0,4,2,6,3,9,0,0,0,1,1,0,-1,3,1
KR_6709083543,420,7,35,8,17,2,3,1,6,6,0,-1,1,2,9,10,1,1,2,1,1,20,-15,-3,10,7,8,0,2,1,1,1,1,1,1
KR_6750185770,440,1,61,11,2,1,3,2,0,3,3,-1,3,4,2,4,2,0,0,0,1,0,-57,-2,6,4,0,0,0,0,0,0,1,0,1
KR_6755837130,420,2,-13,-4,5,2,2,0,1,2,1,0,3,3,1,1,0,1,2,1,0,4,8,7,0,7,-1,0,3,1,1,1,-1,4,1
KR_6752240731,420,3,1,-14,12,2,2,0,4,4,0,2,5,3,4,5,1,0,1,1,0,10,20,4,2,6,1,0,1,1,-1,1,1,2,1
KR_6714256973,420,7,40,76,5,1,3,2,2,2,0,6,6,0,-4,0,4,0,2,2,1,2,-15,-2,6,4,1,0,2,1,1,1,1,5,1
KR_6654629687,420,-1,2,4,4,-6,0,6,6,6,0,1,3,2,3,3,0,0,0,0,0,8,24,2,2,4,6,0,0,1,-1,0,1,5,1
KR_6647104987,420,0,5,0,0,2,4,2,-1,2,3,0,1,1,-1,3,4,0,1,1,0,4,-5,-2,4,2,0,0,1,-1,1,1,-1,4,1
KR_6739324012,440,-3,-11,-28,-7,-1,1,2,-3,0,3,-2,0,2,3,5,2,-4,1,5,0,-2,28,4,3,7,-5,0,0,1,-1,0,1,5,1
KR_6742373975,420,2,68,5,8,3,3,0,1,4,3,3,3,0,1,3,2,0,1,1,0,8,0,2,4,6,2,0,0,1,-1,0,1,1,1
KR_6725916804,420,4,48,28,1,1,3,2,0,3,3,0,4,4,-1,2,3,1,2,1,0,-7,13,2,3,5,-2,0,0,1,-1,1,-1,3,1
KR_6737230432,420,6,-4,24,8,-1,2,3,0,3,3,2,4,2,4,4,0,3,3,0,0,10,-42,4,2,6,17,0,1,-1,1,1,1,5,1
KR_6728519635,420,0,31,0,1,1,2,1,0,1,1,0,4,4,1,1,0,-1,0,1,0,7,18,1,5,6,-1,0,0,-1,1,0,-1,6,1
KR_6714940544,420,-1,-5,-22,6,1,4,3,-1,2,3,-1,6,7,3,5,2,4,6,2,1,7,15,-2,8,6,3,0,1,-1,1,1,1,6,1
KR_6758147745,420,1,81,8,2,2,4,2,0,0,0,-1,2,3,2,5,3,-1,0,1,0,-5,-12,-3,7,4,6,0,0,1,1,0,1,6,1
KR_6530946837,420,-2,-52,4,-4,0,2,2,0,1,1,0,1,1,-2,1,3,-2,1,3,0,-7,-3,1,5,6,4,0,0,1,-1,0,1,1,1
KR_6706580305,440,-3,-48,-12,-4,-5,0,5,-3,2,5,6,8,2,-2,0,2,0,0,0,0,-1,2,3,1,4,1,0,0,1,1,1,-1,4,1
KR_6712035549,420,4,65,-24,15,2,2,0,-1,2,3,5,6,1,5,5,0,4,6,2,0,16,0,0,3,3,-2,0,0,1,-1,0,1,4,1
KR_6752798419,420,0,-1,20,-1,-2,1,3,8,8,0,-6,1,7,-3,1,4,2,2,0,1,-4,-8,-1,5,4,3,0,-1,1,-1,-1,1,6,1
KR_6681569840,420,-3,-19,17,-1,0,1,1,-1,5,6,0,1,1,-1,1,2,1,1,0,0,-2,-4,-3,5,2,0,0,-1,1,-1,-1,-1,4,1
KR_6736671224,440,-1,-31,-1,-2,-2,1,3,5,8,3,2,3,1,-7,0,7,0,1,1,0,-6,12,3,5,8,0,0,-2,-1,-1,-1,-1,6,1
KR_6716071155,420,5,66,0,15,6,7,1,1,2,1,3,3,0,5,6,1,0,0,0,0,12,-2,3,3,6,1,0,1,1,1,1,1,5,1
KR_6754259347,420,5,41,39,10,2,5,3,-1,2,3,2,4,2,5,5,0,2,3,1,0,13,-4,-3,7,4,8,0,0,1,-1,-1,1,1,1
KR_6620474670,420,5,98,20,8,6,6,0,4,6,2,3,3,0,-3,2,5,-2,0,2,0,8,30,4,1,5,2,0,1,1,1,1,-1,3,1
KR_6758521015,420,1,4,-16,7,0,2,2,-1,1,2,-4,1,5,8,9,1,4,4,0,1,11,9,7,1,8,-2,0,0,1,1,0,1,3,1
KR_6757143276,440,0,-19,16,4,-1,0,1,-5,0,5,-1,3,4,2,2,0,9,10,1,0,9,-9,3,6,9,-1,0,0,1,-1,0,-1,1,1
KR_6764790483,420,1,49,0,7,0,3,3,5,5,0,-3,0,3,2,4,2,3,3,0,0,9,-12,-4,8,4,3,0,1,0,-1,1,-1,0,1
KR_6744425055,420,-1,47,-4,2,1,2,1,2,3,1,4,5,1,0,2,2,-5,3,8,0,-2,8,2,1,3,0,0,0,1,-1,1,-1,4,1
KR_6763600334,420,3,116,-16,4,4,5,1,-1,0,1,-1,1,2,3,4,1,-1,0,1,0,3,-6,-1,3,2,2,0,0,1,0,1,1,4,1
KR_6761657701,440,-2,-78,2,-1,3,3,0,3,4,1,4,6,2,-6,0,6,-5,1,6,0,6,-8,4,2,6,-2,0,0,1,-1,-1,1,1,1
KR_6739980828,420,0,-46,-41,2,0,3,3,-3,3,6,4,6,2,5,8,3,-4,4,8,-2,-6,7,1,4,5,3,0,0,1,1,1,-1,5,1
KR_6756465303,420,6,49,48,12,4,4,0,1,3,2,2,3,1,3,7,4,2,3,1,0,8,5,-7,8,1,0,0,-1,-1,0,-1,1,2,1
KR_6663235204,440,1,110,12,-3,-4,1,5,-1,3,4,3,5,2,-1,4,5,0,1,1,0,-5,-1,0,3,3,3,0,0,0,-1,-1,1,0,1
KR_6616650061,420,1,88,4,5,2,4,2,3,5,2,3,6,3,-1,4,5,-2,0,2,0,1,4,4,2,6,-4,0,0,-1,0,0,1,1,1
KR_6728313082,420,-2,-6,32,-5,1,2,1,-1,1,2,-6,0,6,-1,4,5,2,3,1,-1,-7,5,1,7,8,-3,0,0,-1,-1,-1,-1,4,1
KR_6759100902,420,0,55,11,-5,0,3,3,0,1,1,0,1,1,-5,2,7,0,1,1,0,-17,-2,-2,5,3,4,0,1,-1,1,1,-1,2,1
KR_6672538413,420,4,50,51,11,3,3,0,3,5,2,8,8,0,-5,0,5,2,3,1,1,-3,-106,6,3,9,0,0,1,1,1,1,1,4,1
KR_6739474936,420,2,-1,8,0,-2,2,4,-3,2,5,0,4,4,4,4,0,1,1,0,0,2,5,0,6,6,-3,0,1,1,0,1,-1,2,1
KR_6763393686,420,2,3,20,7,2,2,0,3,4,1,1,2,1,-2,0,2,3,3,0,0,9,12,-4,8,4,2,0,0,1,1,1,1,1,1
KR_6733690232,420,-2,3,-16,6,2,3,1,-1,1,2,-4,0,4,2,4,2,7,7,0,0,6,-4,5,0,5,4,0,2,1,1,1,1,5,1
KR_6740328173,420,3,38,12,0,1,1,0,-2,5,7,2,4,2,0,1,1,-1,1,2,0,-3,5,-2,4,2,5,0,1,-1,1,1,1,1,1
KR_6742944088,420,2,-20,8,12,1,2,1,5,6,1,5,7,2,-1,2,3,2,2,0,3,12,6,6,1,7,-4,0,0,0,1,0,1,0,1
KR_6669282062,420,0,74,4,7,2,4,2,0,5,5,2,5,3,3,3,0,0,0,0,0,5,3,-3,7,4,-2,0,0,1,0,0,1,6,1
KR_6763234692,420,2,-41,-2,7,1,2,1,4,6,2,1,3,2,1,3,2,0,1,1,0,13,1,2,1,3,2,0,-1,1,-1,-1,-1,4,1
KR_6758426110,440,4,29,-9,4,-4,0,4,4,5,1,9,9,0,-7,3,10,2,2,0,0,-2,-4,1,4,5,2,0,3,1,-1,1,1,6,1
KR_6638099479,420,4,15,24,11,1,1,0,5,8,3,0,1,1,2,4,2,3,6,3,0,11,202,3,4,7,-2,0,0,1,1,0,1,5,1
KR_6758082786,440,-2,56,-14,-8,-11,2,13,-1,1,2,4,4,0,1,3,2,-1,0,1,-1,-4,44,5,1,6,1,0,2,1,1,1,-1,6,1
KR_6701996819,420,2,10,1,3,1,2,1,0,3,3,5,5,0,-2,2,4,-1,2,3,0,1,-3,-2,6,4,1,0,2,1,-1,1,-1,1,1
KR_6728052381,440,0,49,32,0,1,2,1,3,4,1,2,4,2,0,5,5,-6,0,6,0,-3,-7,-2,6,4,-3,0,1,-1,1,1,-1,3,1
KR_6763027250,420,-1,13,17,-3,3,5,2,-3,4,7,-5,2,7,-2,2,4,4,4,0,0,-10,4,1,3,4,3,0,0,1,1,1,-1,2,1
KR_6651783032,420,2,39,-4,4,0,2,2,2,5,3,2,5,3,0,4,4,0,1,1,-1,2,-26,-3,3,0,4,0,0,-1,-1,0,-1,1,1
KR_6763583262,420,3,57,8,6,2,3,1,3,4,1,3,4,1,4,8,4,-6,1,7,-1,0,7,4,1,5,1,0,-3,1,0,-1,-1,1,1
KR_6743559695,420,-1,31,4,3,-1,1,2,1,4,3,-3,0,3,5,5,0,1,2,1,0,7,-9,1,3,4,1,0,0,1,-1,-1,1,4,1
KR_6699011105,420,4,39,39,4,1,1,0,-3,1,4,2,3,1,2,2,0,2,2,0,0,4,0,2,0,2,1,0,0,1,-1,1,-1,4,1
KR_6643252911,420,3,20,-20,13,1,3,2,1,2,1,-4,0,4,12,12,0,3,4,1,0,14,-6,-2,7,5,0,0,1,-1,-1,1,1,2,1
KR_6708997439,420,3,-15,19,4,-5,2,7,3,7,4,0,0,0,6,8,2,0,0,0,0,5,70,-1,7,6,-1,0,0,1,-1,-1,-1,5,1
KR_6574277847,420,5,41,-8,10,0,1,1,5,6,1,4,5,1,1,2,1,0,0,0,0,13,-46,0,7,7,18,0,1,1,1,1,1,4,1
KR_6742706993,420,0,-51,0,-1,-2,0,2,4,6,2,2,3,1,-3,1,4,-2,0,2,0,-2,-47,2,2,4,11,0,0,0,1,1,-1,0,1
KR_6707334760,420,-3,-18,12,-5,-4,0,4,2,3,1,-1,4,5,-4,4,8,2,3,1,0,-3,5,4,0,4,-2,0,0,1,1,1,1,4,1
KR_6738315105,420,4,72,-18,10,4,4,0,-2,2,4,4,4,0,1,3,2,3,5,2,0,1,-44,2,4,6,33,0,-1,-1,-1,-1,1,3,1
KR_6762957788,420,-4,-22,-36,-9,0,1,1,-3,2,5,-5,0,5,0,2,2,-1,0,1,0,-3,10,-2,3,1,2,0,-1,-1,-1,-1,-1,6,1
KR_6678642255,420,0,-8,24,5,-1,2,3,2,3,1,4,5,1,0,2,2,0,0,0,0,4,28,3,3,6,-5,0,1,1,-1,1,-1,6,1
KR_6612229611,420,3,81,3,7,5,5,0,0,3,3,1,4,3,2,3,1,-1,0,1,1,1,12,3,2,5,1,0,2,1,1,1,1,6,1
KR_6763227363,440,4,26,20,2,2,2,0,-1,1,2,0,2,2,0,0,0,1,3,2,0,-1,2,0,7,7,-1,0,0,-1,1,1,1,4,1
KR_6697583617,420,0,60,11,-5,1,2,1,-1,1,2,-1,0,1,-6,5,11,2,2,0,0,-9,24,0,8,8,2,0,0,1,0,-1,1,2,1
KR_6648452920,420,4,98,16,13,3,3,0,6,9,3,3,3,0,1,2,1,0,0,0,0,7,2,3,4,7,-1,0,3,1,1,1,1,6,1
KR_6756040868,420,6,79,24,16,6,8,2,2,4,2,4,6,2,3,3,0,1,2,1,2,15,9,9,4,13,1,0,2,1,0,1,1,1,1
KR_6758132496,420,0,19,16,3,1,2,1,2,3,1,2,2,0,-2,2,4,0,1,1,0,6,-9,-1,5,4,0,0,0,1,1,1,1,5,1
KR_6657530283,420,2,6,32,-4,0,2,2,1,6,5,-1,1,2,-1,2,3,-3,1,4,-1,-8,5,-8,9,1,4,0,1,1,-1,-1,-1,5,1
KR_6722816065,440,6,45,20,8,1,1,0,7,7,0,0,1,1,1,9,8,-1,3,4,-2,4,6,0,6,6,0,0,1,1,-1,1,1,3,1
KR_6753468515,420,1,-14,4,-1,1,3,2,3,4,1,-6,0,6,-1,1,2,2,3,1,-1,-5,-2,2,4,6,-4,0,-1,1,-1,-1,-1,3,1
KR_6611762686,420,1,104,-23,5,1,4,3,3,5,2,-2,2,4,0,1,1,3,3,0,0,7,-177,0,4,4,-3,0,1,1,-1,1,-1,1,1
KR_6738851980,420,1,-49,9,0,0,3,3,1,1,0,-4,0,4,0,4,4,3,3,0,0,-1,-11,5,4,9,-8,0,-1,0,-1,-1,-1,0,1
KR_6745222844,420,4,42,20,7,1,1,0,2,3,1,3,4,1,2,4,2,-1,0,1,0,10,71,2,4,6,1,0,0,0,1,0,1,0,1
KR_6753735950,440,-1,71,-8,-2,-1,2,3,-1,1,2,-4,2,6,1,4,3,3,4,1,0,0,-4,0,3,3,4,0,1,1,0,1,1,1,1
KR_6731528442,420,1,23,16,7,2,3,1,1,2,1,-4,0,4,5,6,1,3,3,0,0,6,-33,-1,2,1,20,0,0,1,0,0,1,3,1
KR_6633892714,420,0,34,-8,0,-1,0,1,3,5,2,3,3,0,-5,1,6,0,1,1,0,0,-9,2,5,7,2,0,0,-1,1,0,-1,3,1
KR_6581995653,420,2,-30,64,6,1,2,1,2,2,0,2,2,0,1,2,1,0,0,0,0,5,-152,1,0,1,4,0,0,0,1,0,-1,0,1
KR_6564067201,420,-1,-59,-2,1,0,3,3,-4,0,4,5,5,0,0,3,3,0,0,0,-1,11,-10,-4,9,5,5,0,-1,1,1,-1,-1,1,1
KR_6673324990,420,-1,-2,15,-5,0,2,2,3,3,0,1,3,2,-9,0,9,0,1,1,-1,-8,-6,-2,6,4,5,0,-1,-1,1,-1,-1,1,1
KR_6752774287,440,6,22,31,18,5,6,1,1,4,3,0,3,3,7,7,0,5,5,0,1,17,-5,6,3,9,2,0,1,0,-1,1,1,0,1
KR_6736598144,420,6,51,66,8,-2,0,2,6,7,1,4,6,2,1,1,0,-1,0,1,0,10,-2,2,1,3,2,0,2,1,1,1,1,6,1
KR_6763238937,420,2,14,0,0,-3,0,3,2,4,2,2,5,3,3,3,0,-4,0,4,0,4,6,-2,7,5,-1,0,0,1,-1,-1,-1,4,1
KR_6760801968,420,6,-5,111,9,1,3,2,5,5,0,-1,1,2,2,3,1,2,4,2,2,15,1,2,2,4,3,0,2,1,1,1,1,4,1
KR_6760457722,420,4,62,8,5,5,7,2,0,1,1,-1,5,6,1,5,4,0,0,0,1,8,1,-8,9,1,4,0,0,1,1,0,1,2,1
KR_6755127718,420,-3,-14,-23,-4,-1,1,2,-4,0,4,-1,5,6,3,6,3,-1,1,2,0,-8,-9,-2,6,4,1,0,1,-1,1,1,1,5,1
KR_6702716716,420,-2,-23,8,-2,0,2,2,3,5,2,-5,2,7,0,2,2,0,0,0,0,-3,0,4,4,8,-3,0,0,1,-1,0,1,2,1
KR_6729244078,420,0,-72,-7,0,-2,0,2,0,5,5,-1,3,4,3,3,0,0,1,1,0,10,8,3,0,3,-1,0,-1,-1,0,-1,1,2,1
KR_6670498796,420,-1,12,-16,5,5,6,1,-1,2,3,-1,1,2,0,4,4,2,3,1,0,2,-4,1,3,4,-1,0,1,0,-1,1,1,0,1
KR_6739824575,420,3,33,28,7,-2,1,3,4,4,0,-3,2,5,7,8,1,1,3,2,0,9,3,2,4,6,1,0,1,1,1,1,-1,4,1
KR_6711900768,420,-1,12,-40,-4,3,3,0,2,3,1,-5,4,9,-4,3,7,0,1,1,0,-2,240,-5,5,0,3,0,-1,-1,-1,-1,-1,2,1
KR_6700082974,420,1,-12,-1,2,1,1,0,1,4,3,0,2,2,0,3,3,0,1,1,0,0,3,3,7,10,-5,0,1,1,1,1,-1,6,1
KR_6752536329,440,-1,51,-23,6,2,3,1,1,1,0,3,3,0,0,0,0,0,1,1,0,7,15,3,3,6,1,0,0,-1,1,0,1,2,1
KR_6744033052,420,2,95,18,9,3,3,0,1,2,1,0,0,0,1,2,1,4,4,0,0,8,3,0,5,5,-3,0,0,1,1,0,1,1,1
KR_6648382153,420,3,81,11,8,1,1,0,6,7,1,-2,3,5,2,4,2,1,1,0,0,8,-4,0,5,5,-1,0,1,1,1,1,1,3,1
KR_6720529482,440,-1,95,5,2,1,2,1,3,7,4,1,2,1,-1,1,2,-2,0,2,0,0,24,-1,3,2,5,0,0,0,0,1,1,0,1
KR_6744592210,420,2,42,16,-3,-3,0,3,-2,4,6,-1,0,1,2,4,2,1,2,1,0,1,-7,-3,9,6,-4,0,1,1,-1,1,-1,1,1
KR_6725559778,420,1,30,-9,2,2,3,1,-3,2,5,-2,0,2,4,4,0,1,2,1,1,1,-5,2,2,4,1,0,1,1,0,1,1,4,1
KR_6762722134,420,3,75,-8,12,3,3,0,-2,2,4,6,6,0,4,4,0,1,2,1,0,12,10,2,3,5,-3,0,2,1,0,1,-1,1,1
KR_6700247694,420,-1,-49,-6,-2,0,1,1,1,3,2,-4,0,4,1,4,3,0,0,0,0,0,-17,0,4,4,5,0,0,-1,-1,0,-1,4,1
KR_6680317078,440,3,-66,16,6,1,3,2,4,5,1,0,2,2,0,1,1,1,2,1,1,9,8,2,3,5,0,0,1,-1,1,1,1,1,1
KR_6741743127,440,1,52,25,7,2,3,1,1,3,2,-1,2,3,2,4,2,3,3,0,1,6,33,-4,8,4,4,0,1,1,-1,1,1,2,1
KR_6752496371,420,3,-19,20,3,2,2,0,2,4,2,1,3,2,-2,0,2,0,0,0,0,0,-307,-1,3,2,3,0,0,1,1,1,-1,1,1
KR_6741553966,440,2,12,12,6,2,3,1,2,2,0,0,4,4,-2,1,3,4,5,1,0,12,1,-1,5,4,1,0,1,1,-1,1,-1,1,1
KR_6764106722,420,5,45,41,10,-2,1,3,1,3,2,2,7,5,7,8,1,2,3,1,-1,14,-4,-1,3,2,-1,0,1,1,1,1,-1,6,1
KR_6643183852,420,2,-58,7,0,-3,0,3,2,4,2,2,5,3,-2,0,2,1,2,1,0,0,0,0,3,3,0,0,0,1,-1,0,-1,3,1
KR_6616783614,420,2,68,-19,3,0,1,1,-2,0,2,3,4,1,1,2,1,1,1,0,0,-1,10,1,2,3,-1,0,1,1,1,1,1,4,1
KR_6720867123,420,5,-14,73,16,1,1,0,9,9,0,2,2,0,3,5,2,1,1,0,1,17,-39,-3,5,2,19,0,1,1,1,1,-1,6,1
KR_6729028408,440,7,114,57,17,4,5,1,4,4,0,2,3,1,7,11,4,0,1,1,0,17,5,6,2,8,-1,0,3,1,1,1,1,3,1
KR_6635023756,420,5,48,59,13,4,4,0,2,5,3,4,6,2,2,4,2,1,2,1,0,0,-7,-6,8,2,4,0,-1,1,1,1,1,5,1
KR_6760459902,420,-1,-6,0,2,-2,1,3,1,4,3,0,3,3,5,5,0,-2,0,2,0,7,-5,2,3,5,1,0,2,-1,1,1,1,1,1
KR_6761043603,420,2,-19,6,3,0,1,1,3,3,0,2,3,1,-1,2,3,-1,0,1,0,-2,3,1,3,4,-1,0,1,1,-1,1,-1,5,1
KR_6764493261,420,-1,28,-15,-5,-1,0,1,-2,4,6,1,3,2,-4,2,6,1,1,0,2,-8,142,-2,9,7,0,0,1,-1,-1,1,1,6,1
